"ID" "gamma01" "N2" "ICC" "beta" "method" "parameter" "est" "se" "cov" "bias"
"1" 1 0 15 0.1 0 "CD" "gamma01" 0.349340059731632 0.0845221257165532 0 -0.349340059731632
"2" 2 0.3 15 0.1 0 "CD" "gamma01" 0.267615304781768 0.0801808610922009 0.9 0.0323846952182317
"3" 3 0 30 0.1 0 "CD" "gamma01" 0.301599244198104 0.0596824606296066 0 -0.301599244198104
"4" 4 0.3 30 0.1 0 "CD" "gamma01" 0.28570643838847 0.0571480237336516 1 0.0142935616115298
"5" 5 0 60 0.1 0 "CD" "gamma01" 0.288108271286679 0.0422627471522822 0 -0.288108271286679
"6" 6 0.3 60 0.1 0 "CD" "gamma01" 0.295205966332714 0.0410399810727114 1 0.00479403366728559
"7" 7 0 15 0.3 0 "CD" "gamma01" 0.282058354932574 0.0840609789272271 0 -0.282058354932574
"8" 8 0.3 15 0.3 0 "CD" "gamma01" 0.306429605185848 0.0831932145494166 1 -0.00642960518584771
"9" 9 0 30 0.3 0 "CD" "gamma01" 0.330132837954811 0.0613062907468123 0 -0.330132837954811
"10" 10 0.3 30 0.3 0 "CD" "gamma01" 0.275981217706582 0.0579653356751632 0.8 0.0240187822934185
"11" 11 0 60 0.3 0 "CD" "gamma01" 0.316682368445744 0.0421928710010242 0 -0.316682368445744
"12" 12 0.3 60 0.3 0 "CD" "gamma01" 0.296353530349237 0.0419630891284529 1 0.00364646965076329
"13" 13 0 15 0.1 0.3 "CD" "gamma01" 0.304138009799499 0.0801367387826024 0 -0.304138009799499
"14" 14 0.3 15 0.1 0.3 "CD" "gamma01" 0.3399567541185 0.0851032979957761 0.9 -0.0399567541185001
"15" 15 0 30 0.1 0.3 "CD" "gamma01" 0.291140058856884 0.0580373959250096 0 -0.291140058856884
"16" 16 0.3 30 0.1 0.3 "CD" "gamma01" 0.292429298654596 0.0585699232118303 1 0.00757070134540399
"17" 17 0 60 0.1 0.3 "CD" "gamma01" 0.320929296647791 0.0410454679047635 0 -0.320929296647791
"18" 18 0.3 60 0.1 0.3 "CD" "gamma01" 0.306005979285723 0.0403633008095649 1 -0.00600597928572331
"19" 19 0 15 0.3 0.3 "CD" "gamma01" 0.257647139053306 0.0820856725908934 0.1 -0.257647139053306
"20" 20 0.3 15 0.3 0.3 "CD" "gamma01" 0.285572012553324 0.0891042986377097 0.9 0.014427987446676
"21" 21 0 30 0.3 0.3 "CD" "gamma01" 0.26930907065105 0.0584693011069363 0 -0.26930907065105
"22" 22 0.3 30 0.3 0.3 "CD" "gamma01" 0.319846101745822 0.0588769755833136 1 -0.0198461017458222
"23" 23 0 60 0.3 0.3 "CD" "gamma01" 0.307559025288293 0.042436373101807 0 -0.307559025288293
"24" 24 0.3 60 0.3 0.3 "CD" "gamma01" 0.299296095216916 0.0407293177039279 0.9 0.000703904783083495
"25" 1 0 15 0.1 0 "LD" "gamma01" 0.379760887758877 0.106767298103985 0 -0.379760887758877
"26" 2 0.3 15 0.1 0 "LD" "gamma01" 0.262930444422134 0.0975778084502761 0.9 0.0370695555778657
"27" 3 0 30 0.1 0 "LD" "gamma01" 0.290948498231708 0.0741204988337712 0 -0.290948498231708
"28" 4 0.3 30 0.1 0 "LD" "gamma01" 0.276801817390522 0.0700964279625347 1 0.0231981826094784
"29" 5 0 60 0.1 0 "LD" "gamma01" 0.291717730122114 0.0509619102173054 0 -0.291717730122114
"30" 6 0.3 60 0.1 0 "LD" "gamma01" 0.286525459636483 0.0502259126186913 0.9 0.0134745403635173
"31" 7 0 15 0.3 0 "LD" "gamma01" 0.26489432156758 0.104666678258269 0.1 -0.26489432156758
"32" 8 0.3 15 0.3 0 "LD" "gamma01" 0.287627099460472 0.10083080751271 1 0.0123729005395284
"33" 9 0 30 0.3 0 "LD" "gamma01" 0.333054245025837 0.0768144511608453 0 -0.333054245025837
"34" 10 0.3 30 0.3 0 "LD" "gamma01" 0.253561421137538 0.0700126609583092 0.8 0.0464385788624622
"35" 11 0 60 0.3 0 "LD" "gamma01" 0.296414312044254 0.050876203590106 0 -0.296414312044254
"36" 12 0.3 60 0.3 0 "LD" "gamma01" 0.295649952797189 0.0518169612591144 0.9 0.00435004720281059
"37" 13 0 15 0.1 0.3 "LD" "gamma01" 0.297322811814258 0.099080539670768 0.1 -0.297322811814258
"38" 14 0.3 15 0.1 0.3 "LD" "gamma01" 0.335439795475135 0.108099804788665 0.9 -0.0354397954751345
"39" 15 0 30 0.1 0.3 "LD" "gamma01" 0.298522027896104 0.0725797231945991 0 -0.298522027896104
"40" 16 0.3 30 0.1 0.3 "LD" "gamma01" 0.255699666321613 0.0720593322218577 1 0.0443003336783867
"41" 17 0 60 0.1 0.3 "LD" "gamma01" 0.328483839231089 0.0496477837570843 0 -0.328483839231089
"42" 18 0.3 60 0.1 0.3 "LD" "gamma01" 0.310577681308066 0.0493224928066207 1 -0.0105776813080661
"43" 19 0 15 0.3 0.3 "LD" "gamma01" 0.252092443546214 0.10038237191846 0.2 -0.252092443546214
"44" 20 0.3 15 0.3 0.3 "LD" "gamma01" 0.309017469260222 0.108802883075519 1 -0.00901746926022161
"45" 21 0 30 0.3 0.3 "LD" "gamma01" 0.272012824921886 0.0715338623649935 0 -0.272012824921886
