"ID" "method" "parameter" "ICC" "N2" "R" "estimate" "stand_err" "bias" "rel_bias" "coverage" "empSE" "ciw" "mcse_bias" "mcse_cov" "mcse_empSE"
"1" 1 "MI-R1" "gamma01" 0.1 15 1000 0.325257903109794 0.288166043145083 -0.0747420968902065 -0.186855242225516 0.967 0.240465174612669 1.13683462622863 0.00760417649726132 0.00564898220921256 0.00537965526697969
"2" 1 "MI-R2" "gamma01" 0.1 15 1000 0.351779520109916 0.301113203989902 -0.0482204798900839 -0.12055119972521 0.963 0.257440142969835 1.18803531675841 0.00814097212944064 0.00596917079668525 0.00575941702697897
"3" 2 "MI-R1" "gamma01" 0.1 30 1000 0.338201751392521 0.196530278387047 -0.0617982486074788 -0.154495621518697 0.959 0.172180861000983 0.774710854720507 0.00544483690251965 0.00627048642451286 0.00385200758175913
"4" 2 "MI-R2" "gamma01" 0.1 30 1000 0.366778178588744 0.202993040630683 -0.0332218214112556 -0.0830545535281391 0.964 0.183694464583836 0.800329687957579 0.00580892901650055 0.00589101010014412 0.00410958840715798
"5" 3 "MI-R1" "gamma01" 0.1 60 1000 0.360468356957375 0.137628522002292 -0.039531643042625 -0.0988291076065624 0.951 0.128720137111663 0.542291875346066 0.00407048814002022 0.00682634602111555 0.0028797099816824
"6" 3 "MI-R2" "gamma01" 0.1 60 1000 0.385658763647707 0.141785012406971 -0.014341236352293 -0.0358530908807325 0.954 0.136308980117825 0.558946467687787 0.00431046842706935 0.00662449998113065 0.00304948657953755
"7" 4 "MI-R1" "gamma01" 0.1 15 1000 0.331566450881927 0.286035783083486 -0.0684335491180729 -0.171083872795182 0.954 0.250739546498485 1.12859274248101 0.00792908066412909 0.00662449998113065 0.00560951216380255
"8" 4 "MI-R2" "gamma01" 0.1 15 1000 0.363474905506645 0.299652880065648 -0.0365250944933547 -0.0913127362333868 0.965 0.266354565258117 1.18249338213089 0.00842287091399603 0.00581162627841812 0.00595884931022946
"9" 5 "MI-R1" "gamma01" 0.1 30 1000 0.340841271803889 0.197982817497776 -0.0591587281961115 -0.147896820490279 0.955 0.179873774068873 0.780601977484004 0.00568810817388172 0.00655553201502365 0.00402411242135078
"10" 5 "MI-R2" "gamma01" 0.1 30 1000 0.367077005032117 0.204850280337568 -0.0329229949678833 -0.0823074874197083 0.965 0.190526287929193 0.807881801153784 0.00602497023993297 0.00581162627841812 0.00426242906070429
"11" 6 "MI-R1" "gamma01" 0.1 60 1000 0.355202705554517 0.138522451397182 -0.0447972944454828 -0.111993236113707 0.965 0.120478938056064 0.546112143526764 0.00380987854335501 0.00581162627841812 0.00269533896006942
"12" 6 "MI-R2" "gamma01" 0.1 60 1000 0.378623761253507 0.1420506187043 -0.0213762387464932 -0.053440596866233 0.966 0.128475412319578 0.560144868415671 0.00406274926259123 0.00573096850453743 0.00287423503081344
