"ID" "N2" "ICC" "method" "parameter" "est" "se" "ci_l" "ci_u"
1 15 0.1 "MI-R1" "gamma10" 0.0636957631736958 0.0998037049769326 -0.137703736181748 0.265095262529139
1 15 0.1 "MI-R1" "gamma01" 0.338074642134108 0.218560706382408 -0.0912692872314574 0.767418571499673
1 15 0.1 "MI-a1" "gamma10" 0.0636957631736958 0.0998037049769326 -0.140967629004229 0.26835915535162
1 15 0.1 "MI-a1" "gamma01" 0.338074642134108 0.218560706382408 -0.150828445008197 0.826977729276413
1 15 0.1 "MI-R2" "gamma10" 0.111658842960076 0.0829913949329516 -0.0520141879868286 0.27533187390698
1 15 0.1 "MI-R2" "gamma01" 0.383119562980116 0.241568877243641 -0.0947926956876124 0.861031821647845
1 15 0.1 "MI-a2" "gamma10" 0.111658842960076 0.0829913949329516 -0.0537819439438156 0.277099629863967
1 15 0.1 "MI-a2" "gamma01" 0.383119562980116 0.241568877243641 -0.175476147390769 0.941715273351001
5 30 0.1 "MI-R1" "gamma10" 0.283686386896926 0.0732144720152933 0.138166666492046 0.429206107301806
5 30 0.1 "MI-R1" "gamma01" 0.412798694760614 0.145459368273321 0.127644979232308 0.697952410288921
5 30 0.1 "MI-a1" "gamma10" 0.283686386896926 0.0732144720152933 0.137269585765213 0.430103188028639
5 30 0.1 "MI-a1" "gamma01" 0.412798694760614 0.145459368273321 0.113257454776046 0.712339934745182
5 30 0.1 "MI-R2" "gamma10" 0.267153771246002 0.0820344482909004 0.101854804442218 0.432452738049786
5 30 0.1 "MI-R2" "gamma01" 0.464978271651394 0.149994704204167 0.169618271598032 0.760338271704756
5 30 0.1 "MI-a2" "gamma10" 0.267153771246002 0.0820344482909004 0.100577770591799 0.433729771900204
5 30 0.1 "MI-a2" "gamma01" 0.464978271651394 0.149994704204167 0.151791145818306 0.778165397484482
4 15 0.1 "MI-R1" "gamma10" 0.206638178649438 0.108844627668276 -0.0128363761466014 0.426112733445478
4 15 0.1 "MI-R1" "gamma01" 0.53591799301534 0.343317347237484 -0.139713268024242 1.21154925405492
4 15 0.1 "MI-a1" "gamma10" 0.206638178649438 0.108844627668276 -0.0163503727552481 0.429626730054125
4 15 0.1 "MI-a1" "gamma01" 0.53591799301534 0.343317347237484 -0.239268537681268 1.31110452371195
4 15 0.1 "MI-R2" "gamma10" 0.207293068690238 0.0983452618192662 0.0123191552526694 0.402266982127806
4 15 0.1 "MI-R2" "gamma01" 0.555811993463945 0.393460207142462 -0.22690344695668 1.33852743388457
4 15 0.1 "MI-a2" "gamma10" 0.207293068690238 0.0983452618192662 0.00997160617878023 0.404614531201695
4 15 0.1 "MI-a2" "gamma01" 0.555811993463945 0.393460207142462 -0.375624799754029 1.48724878668192
3 60 0.1 "MI-R1" "gamma10" 0.247263245835902 0.0467213040808958 0.155008063388334 0.33951842828347
3 60 0.1 "MI-R1" "gamma01" 0.52911412566077 0.153808673936103 0.225628962051101 0.832599289270438
3 60 0.1 "MI-a1" "gamma10" 0.247263245835902 0.0467213040808958 0.154760452872964 0.33976603879884
3 60 0.1 "MI-a1" "gamma01" 0.52911412566077 0.153808673936103 0.216912858072314 0.841315393249226
3 60 0.1 "MI-R2" "gamma10" 0.257130130879876 0.04755311797876 0.16309432911473 0.351165932645022
3 60 0.1 "MI-R2" "gamma01" 0.578384106123419 0.168751088454122 0.242353655408959 0.914414556837879
3 60 0.1 "MI-a2" "gamma10" 0.257130130879876 0.04755311797876 0.162834059440501 0.351426202319251
3 60 0.1 "MI-a2" "gamma01" 0.578384106123419 0.168751088454122 0.230795783539464 0.925972428707374
4 15 0.1 "MI-R1" "gamma10" 0.330481786703044 0.0969764827355483 0.13799918981646 0.522964383589627
4 15 0.1 "MI-R1" "gamma01" 0.0818597707886785 0.374356877575379 -0.655390517377515 0.819110058954872
4 15 0.1 "MI-a1" "gamma10" 0.330481786703044 0.0969764827355483 0.13563093608043 0.525332637325657
4 15 0.1 "MI-a1" "gamma01" 0.0818597707886785 0.374356877575379 -0.766364075637944 0.930083617215301
4 15 0.1 "MI-R2" "gamma10" 0.315467641625101 0.0917434058925952 0.134796887689055 0.496138395561148
4 15 0.1 "MI-R2" "gamma01" 0.249750738180618 0.391259652123096 -0.52246313871824 1.02196461507948
4 15 0.1 "MI-a2" "gamma10" 0.315467641625101 0.0917434058925952 0.13291301476217 0.498022268488033
4 15 0.1 "MI-a2" "gamma01" 0.249750738180618 0.391259652123096 -0.64561845410093 1.14511993046217
2 30 0.1 "MI-R1" "gamma10" 0.268253646951575 0.0628881650030366 0.143548863648282 0.392958430254868
2 30 0.1 "MI-R1" "gamma01" -0.321059569783497 0.329664556017537 -0.972854024702896 0.330734885135902
2 30 0.1 "MI-a1" "gamma10" 0.268253646951575 0.0628881650030366 0.14281214939228 0.39369514451087
2 30 0.1 "MI-a1" "gamma01" -0.321059569783497 0.329664556017537 -1.01618373084231 0.374064591275312
2 30 0.1 "MI-R2" "gamma10" 0.28035840979318 0.0620339780980559 0.157827195928555 0.402889623657805
2 30 0.1 "MI-R2" "gamma01" -0.325483430103975 0.379869878999913 -1.08346708493157 0.432500224723618
2 30 0.1 "MI-a2" "gamma10" 0.28035840979318 0.0620339780980559 0.157157482413344 0.403559337173016
2 30 0.1 "MI-a2" "gamma01" -0.325483430103975 0.379869878999913 -1.14366640193248 0.492699541724528
3 60 0.1 "MI-R1" "gamma10" 0.253559118486332 0.0442993788929631 0.166634713413333 0.340483523559331
3 60 0.1 "MI-R1" "gamma01" 0.600358158756636 0.178608806308989 0.244655255746801 0.956061061766471
3 60 0.1 "MI-a1" "gamma10" 0.253559118486332 0.0442993788929631 0.166439304112121 0.340678932860543
3 60 0.1 "MI-a1" "gamma01" 0.600358158756636 0.178608806308989 0.232394475631435 0.968321841881836
3 60 0.1 "MI-R2" "gamma10" 0.233635687234691 0.0472591800615369 0.140520858109639 0.326750516359744
3 60 0.1 "MI-R2" "gamma01" 0.545643646053914 0.175568222362627 0.198854933539019 0.892432358568809
3 60 0.1 "MI-a2" "gamma10" 0.233635687234691 0.0472591800615369 0.140283030116037 0.326988344353346
3 60 0.1 "MI-a2" "gamma01" 0.545643646053914 0.175568222362627 0.188655703355659 0.902631588752168
4 15 0.1 "MI-R1" "gamma10" 0.168873658284734 0.107322676631655 -0.049087658730308 0.386834975299775
4 15 0.1 "MI-R1" "gamma01" 0.314296103559847 0.254224581687265 -0.186553482623854 0.815145689743549
4 15 0.1 "MI-a1" "gamma10" 0.168873658284734 0.107322676631655 -0.0529905368179983 0.390737853387466
4 15 0.1 "MI-a1" "gamma01" 0.314296103559847 0.254224581687265 -0.262731580566306 0.891323787686001
