"ID" "method" "parameter" "gamma01" "ICC" "beta" "N2" "R" "estimate" "stand_err" "bias" "rel_bias" "coverage" "empSE" "mcse_bias" "mcse_cov" "mcse_empSE"
"1" 1 "bayes" "gamma01" 0 0.1 0 15 1000 0.00342860290435869 0.371337800035053 0.00342860290435869 NA 0.98 0.291404983302904 0.00921503468760514 0.00442718872423573 0.0065192739687762
"2" 1 "bayes" "gamma10" 0 0.1 0 15 1000 0.1901877120566 0.10239505092699 -0.1098122879434 -0.366040959811332 0.823 0.10046864834971 0.00317709762223601 0.0120694241784768 0.00224767138996921
"3" 1 "CD" "gamma01" 0 0.1 0 15 1000 0.00178910136192518 0.270767879152669 0.00178910136192518 NA 0.942 0.283982802515414 0.00898032472266502 0.00739161687318817 0.00635322591616229
"4" 1 "CD" "gamma10" 0 0.1 0 15 1000 0.194273245287357 0.0848153965645975 -0.105726754712643 -0.352422515708808 0.771 0.0841109323106373 0.00265982122221863 0.0132875505643441 0.00188171871766604
"5" 1 "LD" "gamma01" 0 0.1 0 15 1000 0.0370642684961714 0.273031529739101 0.0370642684961714 NA 0.941 0.300198570867239 0.00949311234267945 0.00745110730026082 0.00671600295347147
"6" 1 "LD" "gamma10" 0 0.1 0 15 1000 0.19373829238538 0.104246905004229 -0.10626170761462 -0.354205692048732 0.831 0.104323382998051 0.00329899503487927 0.0118506961820815 0.0023339090066518
"7" 1 "MI-a" "gamma01" 0 0.1 0 15 1000 0.00502586794991709 0.283070338273415 0.00502586794991709 NA 0.986 0.251910243952998 0.00796610136820132 0.00371537346709587 0.00563570285331655
"8" 1 "MI-a" "gamma10" 0 0.1 0 15 1000 0.19203352576464 0.102642343722954 -0.10796647423536 -0.359888247451199 0.831 0.103318225635537 0.00326720916815496 0.0118506961820815 0.00231142175830866
"9" 1 "MI-R" "gamma01" 0 0.1 0 15 1000 0.00502586794991709 0.283070338273415 0.00502586794991709 NA 0.966 0.251910243952998 0.00796610136820132 0.00573096850453743 0.00563570285331655
"10" 1 "MI-R" "gamma10" 0 0.1 0 15 1000 0.19203352576464 0.102642343722954 -0.10796647423536 -0.359888247451199 0.825 0.103318225635537 0.00326720916815496 0.0120156148406979 0.00231142175830866
"11" 2 "bayes" "gamma01" 0.4 0.1 0 15 1000 0.363833242433137 0.386737950593635 -0.0361667575668631 -0.0904168939171576 0.985 0.280694822012533 0.00887634964975174 0.00384382621875652 0.00627966764869782
"12" 2 "bayes" "gamma10" 0.4 0.1 0 15 1000 0.196630284661724 0.100145169650143 -0.103369715338276 -0.344565717794255 0.826 0.0991957463316068 0.0031368449260817 0.0119884944842962 0.00221919419339774
"13" 2 "CD" "gamma01" 0.4 0.1 0 15 1000 0.39178275831746 0.271788922336438 -0.00821724168253984 -0.0205431042063496 0.953 0.275370548981649 0.00870798135312971 0.00669260786241059 0.00616055371255479
"14" 2 "CD" "gamma10" 0.4 0.1 0 15 1000 0.200279801778426 0.0834706163151222 -0.0997201982215739 -0.33240066073858 0.779 0.0834306664969698 0.00263830932836326 0.0131209374665075 0.00186649990033277
"15" 2 "LD" "gamma01" 0.4 0.1 0 15 1000 0.36175782129184 0.273825923738012 -0.0382421787081598 -0.0956054467703994 0.968 0.268608917943537 0.00849415980534848 0.00556560868189635 0.00600928339207639
"16" 2 "LD" "gamma10" 0.4 0.1 0 15 1000 0.200338494390356 0.101921549344458 -0.0996615056096436 -0.332205018698812 0.837 0.101711501987504 0.00321640010517256 0.0116803681448831 0.00227547634812756
"17" 2 "MI-a" "gamma01" 0.4 0.1 0 15 1000 0.324872365491455 0.291698541450085 -0.0751276345085451 -0.187819086271363 0.981 0.238948647447754 0.00755621969751482 0.00431729081716764 0.0053457277206587
"18" 2 "MI-a" "gamma10" 0.4 0.1 0 15 1000 0.199237088980266 0.100814043612445 -0.100762911019734 -0.335876370065782 0.837 0.100819623742061 0.00318819643866101 0.0116803681448831 0.00225552336529613
